gsis,season,pg,base,out,age,reunion,player_move,coach_move,moved,base_av,out_av
00-0024232,2015,LB,0.5997409326424871,0.5922077922077922,32,0,0,0,0,,
00-0024232,2016,LB,0.5922077922077922,0.3734793187347932,33,0,0,0,0,,
00-0024234,2015,DB,0.7931034482758621,0.4064814814814815,31,1,1,0,1,,
00-0024234,2016,DB,0.4064814814814815,0.09615384615384616,32,0,0,0,1,,
00-0024235,2015,LB,0.8277202072538861,0.8753246753246753,32,0,0,0,0,,
00-0024235,2016,LB,0.8753246753246753,0.4878345498783455,33,0,0,0,0,,
00-0024237,2015,LB,0.405440414507772,0.6402597402597403,31,0,0,0,0,,
00-0024239,2015,DB,0.8466424682395645,0.8055555555555556,31,0,0,0,0,0.5989583333333334,0.7072538860103627
00-0024239,2016,DB,0.8055555555555556,0.5695970695970696,32,0,0,0,1,0.7072538860103627,0.5676959619952494
00-0024239,2017,DB,0.5695970695970696,0.525974025974026,33,0,0,0,0,0.5676959619952494,0.5291005291005291
00-0024239,2018,DB,0.525974025974026,0.6781193490054249,34,1,0,1,0,0.5291005291005291,0.7235023041474654
00-0024239,2019,DB,0.6781193490054249,0.57105719237435,35,0,0,0,0,0.7235023041474654,0.31435643564356436
00-0024239,2020,DB,0.57105719237435,0.5344234079173839,36,0,0,0,1,0.31435643564356436,0.7520718232044199
00-0024242,2015,RB,0.31297709923664124,0.9736842105263158,32,0,0,0,1,0.2180232558139535,0.8044692737430168
00-0024242,2016,RB,0.9736842105263158,0.6854838709677419,33,0,0,0,0,0.8044692737430168,0.48295454545454547
00-0024243,2015,TE,0.48546511627906974,0.4447513812154696,31,0,0,0,0,0.9453125,0.704
00-0024243,2016,TE,0.4447513812154696,0.4454022988505747,32,0,0,0,0,0.704,0.3046875
00-0024243,2017,TE,0.4454022988505747,0.7580645161290323,33,0,0,0,0,0.3046875,0.9393939393939394
00-0024243,2018,TE,0.7580645161290323,0.027777777777777776,34,0,0,0,1,0.9393939393939394,0.05263157894736842
00-0024243,2019,TE,0.027777777777777776,0.4603174603174603,35,0,0,0,0,0.05263157894736842,0.44776119402985076
00-0024243,2020,TE,0.4603174603174603,0.4644808743169399,36,0,0,0,0,0.44776119402985076,0.4125874125874126
00-0024243,2021,TE,0.4644808743169399,0.43548387096774194,37,0,0,0,0,0.4125874125874126,0.40397350993377484
00-0024243,2022,TE,0.43548387096774194,0.30357142857142855,38,0,0,0,0,0.40397350993377484,0.3695652173913043
00-0024243,2023,TE,0.30357142857142855,0.10483870967741936,39,0,0,0,1,0.3695652173913043,0.15602836879432624
00-0024248,2015,LB,0.5790155440414507,0.487012987012987,31,0,0,0,0,,
00-0024249,2015,LB,0.8678756476683938,0.9207792207792208,32,0,0,0,0,,
00-0024249,2016,LB,0.9207792207792208,0.5121654501216545,33,0,0,0,0,,
00-0024258,2015,DB,0.8584392014519057,0.5277777777777778,33,0,0,0,0,,
00-0024258,2016,DB,0.5277777777777778,0.18406593406593408,34,1,1,0,1,,
00-0024267,2015,WR,0.7575301204819277,0.3030769230769231,32,0,0,0,1,0.8685446009389671,0.19090909090909092
00-0024268,2015,TE,0.6482558139534884,0.5773480662983426,31,0,0,0,1,0.765625,0.536
00-0024268,2016,TE,0.5773480662983426,0.27298850574712646,32,0,0,0,0,0.536,0.5
00-0024268,2017,TE,0.27298850574712646,0.30913978494623656,33,0,0,0,1,0.5,0.4318181818181818
00-0024277,2015,DB,0.4909255898366606,0.14351851851851852,32,0,0,0,1,,
00-0024278,2015,DL,0.5564681724845996,0.6479591836734694,31,0,0,0,0,,
00-0024278,2016,DL,0.6479591836734694,0.29876796714579057,32,0,0,0,1,,
00-0024306,2015,DL,0.7926078028747433,0.7040816326530612,32,0,0,0,0,0.6180555555555556,0.7368421052631579
00-0024306,2016,DL,0.7040816326530612,0.3809034907597536,33,0,0,0,0,0.7368421052631579,0.34121621621621623
00-0024306,2017,DL,0.3809034907597536,0.6230314960629921,34,0,0,0,0,0.34121621621621623,0.7252396166134185
00-0024306,2018,DL,0.6230314960629921,0.4834070796460177,35,0,0,0,1,0.7252396166134185,0.694078947368421
00-0024307,2015,DL,0.6375770020533881,0.6346938775510204,33,0,0,0,0,,
00-0024313,2015,TE,0.8488372093023255,0.856353591160221,33,0,0,0,1,0.90625,0.888
00-0024324,2015,WR,0.4563253012048193,0.2276923076923077,32,0,0,0,0,0.4788732394366197,0.2818181818181818
00-0024330,2015,DB,0.470961887477314,0.8870370370370371,31,0,0,0,1,0.3815104166666667,0.6787564766839378
00-0024330,2016,DB,0.8870370370370371,0.4606227106227106,32,0,0,0,0,0.6787564766839378,0.37292161520190026
00-0024331,2016,LB,0.6506493506493507,0.05961070559610705,31,1,1,0,1,,
00-0024334,2015,WR,0.7936746987951807,0.9830769230769231,31,0,0,0,1,0.8967136150234741,0.990909090909091
00-0024334,2016,WR,0.9830769230769231,0.6945288753799392,32,0,0,0,0,0.990909090909091,0.958904109589041
00-0024334,2017,WR,0.6945288753799392,0.27366863905325445,33,0,0,0,1,0.958904109589041,0.7991071428571429
00-0024334,2018,WR,0.27366863905325445,0.15512048192771086,34,0,0,0,1,0.7991071428571429,0.28512396694214875
00-0024338,2015,DL,0.37166324435318276,0.5826530612244898,31,0,0,0,0,0.7326388888888888,0.569078947368421
00-0024338,2016,DL,0.5826530612244898,0.5082135523613963,32,0,0,0,0,0.569078947368421,0.6587837837837838
00-0024338,2017,DL,0.5082135523613963,0.46358267716535434,33,0,0,0,1,0.6587837837837838,0.6773162939297125
00-0024338,2018,DL,0.46358267716535434,0.45685840707964603,34,0,0,0,0,0.6773162939297125,0.5756578947368421
00-0024338,2019,DL,0.45685840707964603,0.06846473029045644,35,0,0,0,1,0.5756578947368421,0.3137254901960784
